transaction_id,transaction_date,transaction_amount,merchant_category,card_type,transaction_location,cardholder_age,cardholder_gender,transaction_description,account_balance,calander_income
24,04-07-2024,6495,Electronics,Discover,Bhopal,86,Male,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",74164,113772
25,06-10-2021,8247,Electronics,MasterCard,Chennai,54,Other,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",43909,97400
26,08-06-2021,5017,Travel,Amex,Hyderabad,66,Female,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",40108,66384
27,21-07-2023,4464,Education,Discover,Pune,54,Female,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",68790,76704
28,13-12-2022,8770,Healthcare,Discover,Bhopal,41,Male,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",80571,116023
29,08-04-2024,5854,Restaurant,Discover,Chennai,90,Female,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,62892,116014
30,10-05-2022,5852,Groceries,Visa,Chennai,12,Female,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",54115,131206
31,23-06-2023,6077,Clothing,MasterCard,Delhi,75,Female,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,66536,178585
32,15-05-2023,3702,Groceries,Amex,Mumbai,77,Other,Ut at dolor quis odio consequat varius.,50896,65135
33,08-01-2021,9208,Entertainment,MasterCard,Jaipur,52,Female,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",87999,117933
34,23-04-2023,9998,Restaurant,Discover,Indore,66,Male,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,92612,170122
35,11-02-2022,3112,Groceries,Discover,Hyderabad,21,Female,Phasellus id sapien in sapien iaculis congue.,37034,67860
36,09-02-2022,8652,Clothing,Discover,Mumbai,82,Other,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,97277,182494
37,22-01-2024,1859,Restaurant,MasterCard,Bhopal,100,Other,Nulla ut erat id mauris vulputate elementum. Nullam varius.,36075,152412
38,06-08-2023,1845,Electronics,Discover,Delhi,99,Other,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,47522,87095
39,21-10-2023,4224,Travel,MasterCard,Bhopal,60,Other,Proin at turpis a pede posuere nonummy. Integer non velit.,40299,121803
40,29-07-2023,1666,Healthcare,Amex,Bengaluru,14,Female,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",81429,144808
41,01-06-2022,9137,Groceries,Amex,Bhopal,29,Other,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",70399,51506
42,17-02-2023,5688,Education,MasterCard,Ahmedabad,95,Other,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",41716,109802
43,12-04-2022,3099,Groceries,Discover,Jaipur,9,Female,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",72010,103038
44,14-12-2021,819,Entertainment,Visa,Mumbai,41,Male,Nunc purus.,32007,80701
45,22-05-2024,8889,Healthcare,Visa,Bengaluru,39,Other,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,35895,161777
46,11-09-2022,7836,Travel,Amex,Chennai,45,Female,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",61333,78429
47,16-09-2022,1722,Entertainment,MasterCard,Ahmedabad,67,Female,Donec posuere metus vitae ipsum. Aliquam non mauris.,24650,136809
48,18-11-2022,6932,Electronics,MasterCard,Delhi,1,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",78623,160488
49,19-05-2021,4668,Travel,MasterCard,Hyderabad,3,Male,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",25466,47235
50,15-08-2023,5264,Restaurant,Visa,Hyderabad,63,Female,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,91228,75934
51,06-11-2021,8546,Entertainment,Amex,Bengaluru,84,Other,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",24593,117708
52,02-01-2022,3738,Entertainment,Discover,Delhi,62,Female,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",37661,169014
53,11-03-2023,7789,Groceries,Amex,Delhi,41,Female,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",31272,49518
54,06-05-2024,9983,Restaurant,MasterCard,Delhi,25,Male,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",91580,74887
55,11-11-2023,3979,Electronics,Discover,Hyderabad,15,Male,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,98774,143042
56,12-04-2021,7605,Electronics,Amex,Indore,31,Male,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",17170,139041
57,30-03-2022,8045,Education,MasterCard,Pune,91,Male,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",36737,132044
58,09-06-2022,518,Travel,MasterCard,Ahmedabad,73,Other,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",59998,69089
59,21-01-2023,1065,Electronics,MasterCard,Pune,23,Female,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,31687,165883
60,12-01-2022,3750,Clothing,Amex,Jaipur,88,Male,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",70504,173425
61,23-06-2021,9212,Education,Discover,Mumbai,90,Male,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",26974,26322
62,11-02-2023,2235,Travel,Amex,Delhi,65,Male,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",32925,27499
63,06-09-2023,625,Groceries,MasterCard,Pune,45,Other,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,76690,49064
64,20-01-2022,8395,Clothing,Visa,Bhopal,59,Other,Morbi porttitor lorem id ligula.,85835,92284
65,10-01-2024,7220,Restaurant,Discover,Bhopal,16,Male,Etiam vel augue. Vestibulum rutrum rutrum neque.,32877,47274
66,19-01-2021,6867,Entertainment,Visa,Hyderabad,61,Other,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",53595,48841
67,19-07-2023,4959,Travel,MasterCard,Mumbai,12,Female,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",80524,123576
68,04-08-2023,8578,Groceries,Amex,Indore,91,Female,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",58265,59604
69,25-07-2023,1711,Clothing,Discover,Indore,79,Female,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",5329,78949
70,15-09-2024,1681,Entertainment,MasterCard,Chennai,13,Other,In sagittis dui vel nisl.,27030,151822
71,15-12-2021,77,Travel,Visa,Indore,79,Female,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,19456,33000
72,09-12-2023,7680,Groceries,MasterCard,Jaipur,79,Male,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,43169,145374
73,27-12-2022,2156,Healthcare,MasterCard,Jaipur,49,Female,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",37521,192755
74,26-10-2022,4763,Groceries,Discover,Bhopal,73,Other,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,78324,132007
75,05-10-2022,8634,Travel,MasterCard,Hyderabad,17,Female,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,45671,33927
76,17-01-2022,2999,Healthcare,MasterCard,Pune,75,Female,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",70715,95869
77,10-12-2023,3539,Clothing,Amex,Bhopal,63,Male,Integer non velit.,32422,99725
78,17-08-2024,5971,Electronics,MasterCard,Pune,78,Female,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",45741,48211
79,15-06-2022,2099,Healthcare,Visa,Delhi,89,Male,In congue. Etiam justo.,22465,31916
80,17-06-2023,3787,Travel,MasterCard,Bhopal,23,Female,Morbi a ipsum. Integer a nibh.,34818,199714
81,06-02-2022,8036,Travel,MasterCard,Ahmedabad,90,Female,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",74571,37579
82,14-09-2022,977,Entertainment,MasterCard,Indore,34,Other,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,43456,48427
83,07-02-2022,8626,Entertainment,Amex,Bhopal,39,Other,Proin at turpis a pede posuere nonummy. Integer non velit.,6693,181991
84,17-12-2023,1769,Education,MasterCard,Hyderabad,79,Male,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",25598,33603
85,20-05-2021,2173,Clothing,Visa,Pune,82,Other,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,58186,141885
86,20-02-2023,3172,Education,MasterCard,Mumbai,9,Female,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",37963,164047
87,17-05-2023,2288,Restaurant,MasterCard,Bengaluru,47,Female,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,68456,78731
88,28-06-2024,9671,Education,Discover,Chennai,26,Female,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",80055,92636
89,10-09-2023,4986,Groceries,Amex,Chennai,34,Other,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,45259,140991
90,27-04-2021,2149,Clothing,Visa,Jaipur,78,Female,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,43563,101792
91,12-01-2024,7611,Education,Amex,Chennai,12,Female,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",94282,114328
92,29-09-2021,8001,Healthcare,Visa,Bhopal,98,Other,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",85808,174664
93,13-01-2023,3698,Travel,Discover,Jaipur,27,Other,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,70866,199453
94,02-06-2022,4782,Clothing,MasterCard,Ahmedabad,17,Other,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",58946,150370
95,29-06-2024,4686,Clothing,Discover,Chennai,2,Other,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",61080,97949
96,06-02-2022,4067,Restaurant,MasterCard,Delhi,60,Male,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",5884,28200
97,08-05-2022,5485,Restaurant,Discover,Mumbai,94,Male,Sed accumsan felis. Ut at dolor quis odio consequat varius.,72500,153394
98,12-12-2023,6688,Healthcare,Amex,Hyderabad,48,Female,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,54294,70776
99,27-07-2021,4113,Entertainment,Amex,Indore,95,Female,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",59742,190285
100,02-04-2021,9612,Education,Discover,Mumbai,67,Female,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",29931,90605
101,05-05-2023,224,Travel,MasterCard,Mumbai,52,Male,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",83119,158580
102,20-10-2023,2051,Restaurant,Amex,Pune,37,Female,Etiam justo.,12363,175729
103,23-05-2024,2728,Travel,MasterCard,Chennai,70,Female,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",84924,134258
104,02-08-2024,585,Restaurant,Amex,Mumbai,95,Female,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,18861,155809
105,17-04-2021,9157,Electronics,Visa,Ahmedabad,24,Female,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",55688,97781
106,27-06-2022,4056,Clothing,MasterCard,Pune,98,Male,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2285,29696
107,29-01-2022,321,Electronics,Amex,Mumbai,61,Female,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",70666,103833
108,11-04-2021,4914,Entertainment,Discover,Pune,35,Male,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",63001,130590
109,09-02-2022,3983,Electronics,Discover,Delhi,23,Other,Nulla mollis molestie lorem. Quisque ut erat.,49524,105687
110,18-11-2022,8302,Restaurant,MasterCard,Indore,52,Female,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",74908,137388
111,15-12-2022,63,Travel,MasterCard,Indore,59,Female,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",29585,150445
112,09-06-2023,672,Restaurant,MasterCard,Jaipur,44,Male,Maecenas ut massa quis augue luctus tincidunt.,28185,176758
113,08-12-2022,7694,Entertainment,Amex,Ahmedabad,67,Female,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",70053,143133
114,13-09-2022,5147,Clothing,MasterCard,Chennai,29,Male,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",27617,30003
115,23-12-2021,7766,Education,Discover,Delhi,83,Other,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",11470,122458
116,16-07-2021,5957,Restaurant,Visa,Pune,29,Other,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",49107,138543
117,04-06-2024,950,Education,Visa,Indore,37,Male,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",41572,162056
118,18-08-2022,9374,Travel,Visa,Chennai,27,Male,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",68467,172914
119,25-05-2022,7414,Clothing,Visa,Delhi,59,Female,In eleifend quam a odio. In hac habitasse platea dictumst.,83817,136163
120,26-09-2023,374,Restaurant,Visa,Chennai,16,Other,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",22286,146565
121,20-12-2021,7863,Groceries,Discover,Hyderabad,100,Male,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,4387,153440
122,04-09-2024,3947,Education,Visa,Indore,12,Other,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",55344,68096
123,30-04-2022,9403,Restaurant,Visa,Delhi,38,Female,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",98631,108743
124,18-12-2023,1688,Healthcare,MasterCard,Jaipur,76,Male,In eleifend quam a odio.,89255,171694
125,07-04-2023,4183,Entertainment,Discover,Bhopal,45,Male,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,53694,36434
126,25-02-2022,3956,Education,MasterCard,Bhopal,39,Male,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",17973,180298
127,02-03-2024,3799,Entertainment,Discover,Delhi,19,Male,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,4458,145689
128,02-07-2024,2419,Healthcare,Discover,Bhopal,78,Female,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,38916,94317
129,15-09-2023,4305,Healthcare,MasterCard,Chennai,64,Other,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",38520,160499
130,26-09-2022,8578,Entertainment,Visa,Chennai,74,Other,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,54428,54655
131,27-12-2021,8037,Entertainment,Visa,Jaipur,48,Other,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",26597,50737
132,29-11-2022,5059,Electronics,Discover,Mumbai,7,Male,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",13482,134548
133,09-09-2022,285,Healthcare,Visa,Pune,46,Other,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",50551,108256
134,18-05-2021,1973,Healthcare,Discover,Jaipur,87,Other,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,43940,68392
135,24-09-2022,9124,Restaurant,Visa,Mumbai,3,Other,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,45446,165704
136,12-09-2022,8847,Restaurant,Discover,Delhi,22,Female,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",46723,154591
137,20-02-2023,7373,Healthcare,Discover,Hyderabad,54,Female,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",56171,116269
138,14-11-2021,247,Groceries,Discover,Ahmedabad,84,Male,Phasellus id sapien in sapien iaculis congue.,87239,119047
139,09-01-2023,2382,Entertainment,Amex,Indore,98,Other,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,41900,137071
140,03-06-2022,9224,Electronics,Amex,Indore,21,Female,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,17984,113211
141,04-03-2023,8717,Education,Amex,Mumbai,87,Female,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,30762,154028
142,08-04-2022,9435,Healthcare,Discover,Hyderabad,69,Other,Donec quis orci eget orci vehicula condimentum.,11647,118989
143,01-01-2024,5083,Electronics,MasterCard,Mumbai,3,Male,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",78642,43930
144,11-03-2021,1372,Groceries,MasterCard,Pune,2,Female,Morbi non quam nec dui luctus rutrum. Nulla tellus.,60236,181063
145,24-01-2024,9925,Education,Visa,Hyderabad,83,Female,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",19360,46372
